source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,3,0.3218,0.745
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,4,0.3306,0.588
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,5,0.3404,0.575
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,6,0.3513,0.57
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,7,0.3635,0.564
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,8,0.3783,0.585
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,9,0.3965,0.603
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,10,0.4163,0.713
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,11,0.4387,0.719
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,12,0.4644,0.787
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,13,0.4946,0.814
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,14,0.5325,0.856
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,15,0.5827,0.871
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,16,0.6148,0.888
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,17,0.6495,0.91
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,19,0.734,0.957
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,20,0.784,0.963
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,21,0.845,0.976
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,22,0.9155,0.975
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,18,0.9885,0.933
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,23,0.995,0.944
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,24,1.084,0.977
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,25,1.178,0.983
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,26,1.274,0.983
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,27,1.368,0.991
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,28,1.464,0.989
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,29,1.556,0.99
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,30,1.645,0.99
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,31,1.733,0.989
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,32,1.817,0.987
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,33,1.898,0.981
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,34,1.975,0.975
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,35,2.049,0.968
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,36,2.12,0.98
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,37,2.255,0.98
0008.txt,"Bassour, Algeria",Bassour,1911-08-30,1911,8,30,,38,2.392,0.901
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,1,0.3063,0.6
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,2,0.3137,0.596
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,3,0.3218,0.513
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,4,0.3306,0.474
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,5,0.3404,0.476
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,6,0.3513,0.489
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,7,0.3635,0.555
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,8,0.3783,0.595
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,9,0.3965,0.631
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,10,0.4163,0.649
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,11,0.4387,0.69
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,12,0.4644,0.73
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,13,0.4946,0.785
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,14,0.5325,0.822
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,15,0.5827,0.855
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,16,0.6148,0.876
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,17,0.6495,0.902
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,19,0.734,0.951
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,20,0.784,0.963
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,21,0.845,0.973
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,22,0.9155,0.974
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,18,0.9885,0.925
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,23,0.995,0.962
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,24,1.084,0.955
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,25,1.178,0.96
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,26,1.274,0.972
0008.txt,"Bassour, Algeria",Bassour,1911-09-04,1911,9,4,,27,1.368,0.981
