source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,1,0.355,0.614
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,2,0.403,0.731
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,3,0.46,0.806
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,4,0.511,0.862
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,5,0.637,0.903
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,6,0.702,0.938
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,7,0.83,0.953
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,8,1.008,0.96
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,9,1.244,0.964
0010.txt,Calama,Calama,1918-07-27,1918,7,27,-999,10,1.61,0.973
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,1,0.355,0.605
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,2,0.403,0.704
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,3,0.46,0.816
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,4,0.511,0.852
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,5,0.637,0.864
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,6,0.702,0.935
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,7,0.83,0.956
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,8,1.008,0.964
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,9,1.244,0.954
0010.txt,Calama,Calama,1918-07-28,1918,7,28,-999,10,1.61,0.97
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,1,0.355,0.601
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,2,0.403,0.717
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,3,0.46,0.806
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,4,0.511,0.857
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,5,0.637,0.9
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,6,0.702,0.93
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,7,0.83,0.963
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,8,1.008,0.97
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,9,1.244,0.967
0010.txt,Calama,Calama,1918-07-29,1918,7,29,-999,10,1.61,0.97
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,1,0.355,0.6
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,2,0.403,0.706
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,3,0.46,0.803
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,4,0.511,0.835
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,5,0.637,0.892
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,6,0.702,0.934
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,7,0.83,0.96
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,8,1.008,0.968
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,9,1.244,0.976
0010.txt,Calama,Calama,1918-07-30,1918,7,30,-999,10,1.61,0.986
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,1,0.355,0.616
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,2,0.403,0.729
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,3,0.46,0.82
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,4,0.511,0.859
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,5,0.637,0.903
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,6,0.702,0.936
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,7,0.83,0.965
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,8,1.008,0.977
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,9,1.244,0.973
0010.txt,Calama,Calama,1918-07-31,1918,7,31,-999,10,1.61,0.976
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,1,0.355,0.618
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,2,0.403,0.736
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,3,0.46,0.821
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,4,0.511,0.875
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,5,0.637,0.911
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,6,0.702,0.94
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,7,0.83,0.972
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,8,1.008,0.973
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,9,1.244,0.977
0010.txt,Calama,Calama,1918-08-01,1918,8,1,-999,10,1.61,0.978
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,1,0.355,0.629
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,2,0.403,0.736
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,3,0.46,0.814
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,4,0.511,0.868
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,5,0.637,0.906
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,6,0.702,0.932
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,7,0.83,0.954
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,8,1.008,0.969
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,9,1.244,0.976
0010.txt,Calama,Calama,1918-08-03,1918,8,3,-999,10,1.61,0.97
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,1,0.355,0.625
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,2,0.403,0.736
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,3,0.46,0.804
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,4,0.511,0.845
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,5,0.637,0.905
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,6,0.702,0.933
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,7,0.83,0.951
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,8,1.008,0.971
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,9,1.244,0.968
0010.txt,Calama,Calama,1918-08-04,1918,8,4,-999,10,1.61,0.969
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,1,0.355,0.627
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,2,0.403,0.74
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,3,0.46,0.812
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,4,0.511,0.865
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,5,0.637,0.906
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,6,0.702,0.936
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,7,0.83,0.961
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,8,1.008,0.967
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,9,1.244,0.974
0010.txt,Calama,Calama,1918-08-05,1918,8,5,-999,10,1.61,0.982
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,1,0.355,0.622
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,2,0.403,0.733
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,3,0.46,0.82
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,4,0.511,0.862
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,5,0.637,0.904
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,6,0.702,0.936
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,7,0.83,0.952
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,8,1.008,0.962
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,9,1.244,0.973
0010.txt,Calama,Calama,1918-08-06,1918,8,6,-999,10,1.61,0.97
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,1,0.355,0.627
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,2,0.403,0.731
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,3,0.46,0.817
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,4,0.511,0.87
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,5,0.637,0.906
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,6,0.702,0.937
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,7,0.83,0.956
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,8,1.008,0.968
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,9,1.244,0.97
0010.txt,Calama,Calama,1918-08-07,1918,8,7,-999,10,1.61,0.973
0010.txt,Calama,Calama,1918-08-08,1918,8,8,-999,1,0.355,0.633
0010.txt,Calama,Calama,1918-08-08,1918,8,8,-999,2,0.403,0.739
0010.txt,Calama,Calama,1918-08-08,1918,8,8,-999,3,0.46,0.815
0010.txt,Calama,Calama,1918-08-08,1918,8,8,-999,4,0.511,0.867
0010.txt,Calama,Calama,1918-08-08,1918,8,8,-999,5,0.637,0.904
0010.txt,Calama,Calama,1918-08-08,1918,8,8,-999,6,0.702,0.935
0010.txt,Calama,Calama,1918-08-08,1918,8,8,-999,7,0.83,0.958
0010.txt,Calama,Calama,1918-08-08,1918,8,8,-999,8,1.008,0.966
