source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,1,0.35,0.614
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,2,0.398,0.647
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,3,0.452,0.83
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,4,0.502,0.865
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,5,0.626,0.925
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,6,0.724,0.951
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,7,0.817,0.962
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,8,0.994,0.97
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,9,1.225,0.975
0012.txt,Harqua Hala,Harqua_Hala,1920-10-04,1920,10,4,-999,10,1.6,0.995
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,1,0.35,0.644
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,2,0.398,0.752
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,3,0.452,0.824
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,4,0.502,0.871
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,5,0.626,0.92
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,6,0.724,0.955
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,7,0.817,0.964
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,8,0.994,0.977
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,9,1.225,0.975
0012.txt,Harqua Hala,Harqua_Hala,1920-10-10,1920,10,10,-999,10,1.6,0.977
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,1,0.35,0.664
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,2,0.398,0.711
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,3,0.452,0.828
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,4,0.502,0.871
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,5,0.626,0.918
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,6,0.724,0.97
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,7,0.817,0.975
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,8,0.994,0.991
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,9,1.225,0.973
0012.txt,Harqua Hala,Harqua_Hala,1920-10-14,1920,10,14,-999,10,1.6,0.991
0012.txt,Harqua Hala,Harqua_Hala,1920-10-15,1920,10,15,-999,1,0.35,0.646
0012.txt,Harqua Hala,Harqua_Hala,1920-10-15,1920,10,15,-999,2,0.398,0.733
0012.txt,Harqua Hala,Harqua_Hala,1920-10-15,1920,10,15,-999,3,0.452,0.828
0012.txt,Harqua Hala,Harqua_Hala,1920-10-15,1920,10,15,-999,4,0.502,0.865
