source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,1,0.355,0.564
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,2,0.403,0.716
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,3,0.46,0.804
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,4,0.511,0.845
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,5,0.637,0.9
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,6,0.702,0.937
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,7,0.83,0.963
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,8,1.008,0.97
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,9,1.244,0.981
0009.txt,Hump Mountain,Hump_Mountain,1917-06-17,1917,6,17,-999,10,1.61,0.984
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,1,0.355,0.619
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,2,0.403,0.672
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,3,0.46,0.754
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,4,0.511,0.769
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,5,0.637,0.847
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,6,0.702,0.89
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,7,0.83,0.929
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,8,1.008,0.957
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,9,1.244,0.965
0009.txt,Hump Mountain,Hump_Mountain,1917-06-18,1917,6,18,-999,10,1.61,0.96
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,1,0.355,0.562
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,2,0.403,0.678
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,3,0.46,0.764
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,4,0.511,0.825
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,5,0.637,0.877
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,6,0.702,0.908
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,7,0.83,0.948
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,8,1.008,0.95
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,9,1.244,0.952
0009.txt,Hump Mountain,Hump_Mountain,1917-06-30,1917,6,30,-999,10,1.61,0.979
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,1,0.355,0.593
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,2,0.403,0.656
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,3,0.46,0.761
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,4,0.511,0.812
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,5,0.637,0.858
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,6,0.702,0.903
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,7,0.83,0.939
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,8,1.008,0.954
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,9,1.244,0.961
0009.txt,Hump Mountain,Hump_Mountain,1917-07-01,1917,7,1,-999,10,1.61,0.962
0009.txt,Hump Mountain,Hump_Mountain,1917-07-02,1917,7,2,-999,1,0.355,0.505
0009.txt,Hump Mountain,Hump_Mountain,1917-07-02,1917,7,2,-999,2,0.403,0.617
0009.txt,Hump Mountain,Hump_Mountain,1917-07-02,1917,7,2,-999,3,0.46,0.708
0009.txt,Hump Mountain,Hump_Mountain,1917-07-02,1917,7,2,-999,4,0.511,0.775
0009.txt,Hump Mountain,Hump_Mountain,1917-07-02,1917,7,2,-999,5,0.637,0.832
0009.txt,Hump Mountain,Hump_Mountain,1917-07-02,1917,7,2,-999,6,0.702,0.875
0009.txt,Hump Mountain,Hump_Mountain,1917-07-02,1917,7,2,-999,7,0.83,0.93
