source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,1,0.349,0.642
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,2,0.395,0.745
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,3,0.45,0.84
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,4,0.499,0.873
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,5,0.621,0.919
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,6,0.714,0.951
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,7,0.803,0.966
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,8,0.977,0.978
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,9,1.214,0.978
0011.txt,Montezuma,Montezuma,1920-09-01,1920,9,1,-999,10,1.593,0.984
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,1,0.349,0.655
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,2,0.395,0.765
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,3,0.45,0.855
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,4,0.499,0.886
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,5,0.621,0.926
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,6,0.714,0.966
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,7,0.803,0.976
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,8,0.977,0.983
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,9,1.214,0.98
0011.txt,Montezuma,Montezuma,1920-09-02,1920,9,2,-999,10,1.593,0.987
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,1,0.349,0.657
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,2,0.395,0.747
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,3,0.45,0.834
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,4,0.499,0.871
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,5,0.621,0.917
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,6,0.714,0.96
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,7,0.803,0.974
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,8,0.977,0.981
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,9,1.214,0.976
0011.txt,Montezuma,Montezuma,1920-09-06,1920,9,6,-999,10,1.593,0.983
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,1,0.349,0.668
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,2,0.395,0.76
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,3,0.45,0.85
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,4,0.499,0.88
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,5,0.621,0.923
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,6,0.714,0.96
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,7,0.803,0.973
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,8,0.977,0.982
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,9,1.214,0.98
0011.txt,Montezuma,Montezuma,1920-09-07,1920,9,7,-999,10,1.593,0.988
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,1,0.349,0.648
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,2,0.395,0.762
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,3,0.45,0.853
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,4,0.499,0.881
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,5,0.621,0.924
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,6,0.714,0.696
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,7,0.803,0.976
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,8,0.977,0.982
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,9,1.214,0.981
0011.txt,Montezuma,Montezuma,1920-09-08,1920,9,8,-999,10,1.593,0.987
0011.txt,Montezuma,Montezuma,1920-09-10,1920,9,10,-999,1,0.349,0.655
0011.txt,Montezuma,Montezuma,1920-09-10,1920,9,10,-999,2,0.395,0.761
0011.txt,Montezuma,Montezuma,1920-09-10,1920,9,10,-999,3,0.45,0.85
0011.txt,Montezuma,Montezuma,1920-09-10,1920,9,10,-999,4,0.499,0.885
0011.txt,Montezuma,Montezuma,1920-09-10,1920,9,10,-999,5,0.621,0.925
0011.txt,Montezuma,Montezuma,1920-09-10,1920,9,10,-999,6,0.714,0.96
