source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,1,0.348,0.591
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,2,0.391,0.711
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,3,0.446,0.802
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,4,0.497,0.853
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,5,0.615,0.889
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,6,0.705,0.928
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,7,0.789,0.949
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,8,0.958,0.955
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,9,1.189,0.955
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-09,1926,12,9,-999,10,1.603,0.965
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,1,0.348,0.582
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,2,0.391,0.714
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,3,0.446,0.801
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,4,0.497,0.858
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,5,0.615,0.897
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,6,0.705,0.944
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,7,0.789,0.958
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,8,0.958,0.971
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,9,1.189,0.972
0014.txt,Mount Brukkaros,Mt_Brukkaros,1926-12-10,1926,12,10,-999,10,1.603,0.969
0014.txt,Mount Brukkaros,Mt_Brukkaros,1927-01-05,1927,1,5,-999,1,0.348,0.598
0014.txt,Mount Brukkaros,Mt_Brukkaros,1927-01-05,1927,1,5,-999,2,0.391,0.721
0014.txt,Mount Brukkaros,Mt_Brukkaros,1927-01-05,1927,1,5,-999,3,0.446,0.802
0014.txt,Mount Brukkaros,Mt_Brukkaros,1927-01-05,1927,1,5,-999,4,0.497,0.863
0014.txt,Mount Brukkaros,Mt_Brukkaros,1927-01-05,1927,1,5,-999,5,0.615,0.901
0014.txt,Mount Brukkaros,Mt_Brukkaros,1927-01-05,1927,1,5,-999,6,0.705,0.946
0014.txt,Mount Brukkaros,Mt_Brukkaros,1927-01-05,1927,1,5,-999,7,0.789,0.965
0014.txt,Mount Brukkaros,Mt_Brukkaros,1927-01-05,1927,1,5,-999,8,0.958,0.967
