source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,1,0.306,0.759
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,2,0.316,0.668
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,3,0.327,0.649
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,4,0.34,0.681
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,5,0.354,0.725
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,6,0.368,0.779
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,7,0.388,0.786
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,8,0.412,0.836
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,9,0.436,0.854
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,10,0.47,0.886
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,11,0.515,0.912
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,12,0.574,0.928
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,13,0.655,0.956
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,14,0.756,0.975
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,15,0.928,0.989
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,16,1.138,0.987
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,18,1.618,0.947
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,19,1.828,0.933
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,20,2.018,0.926
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,21,2.18,0.96
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,22,2.333,0.914
0007.txt,"Mounth Whitney, California",Mt_Whitney,1909-09-03,1909,9,3,,24,2.608,0.758
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,1,0.306,0.571
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,2,0.316,0.635
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,3,0.327,0.638
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,4,0.34,0.668
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,5,0.354,0.738
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,6,0.368,0.766
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,7,0.388,0.843
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,8,0.412,0.818
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,9,0.436,0.832
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,10,0.47,0.887
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,11,0.515,0.916
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,12,0.574,0.938
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,13,0.655,0.951
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,14,0.756,0.962
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,15,0.928,0.979
0007.txt,"Mounth Whitney, California",Mt_Whitney,1910-08-12,1910,8,12,,16,1.138,0.935
