source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,1,0.4,0.711
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,2,0.45,0.8
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,3,0.5,0.868
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,4,0.6,0.922
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,5,0.7,0.957
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,6,0.8,0.971
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,7,0.9,0.979
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,8,1.0,0.98
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,9,1.2,0.984
0001.txt,Mount Wilson,Mt_Wilson,1905-06-06,1905,6,6,p.m,10,1.6,0.978
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,1,0.4,0.755
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,2,0.45,0.814
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,3,0.5,0.854
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,4,0.6,0.905
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,5,0.7,0.935
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,6,0.8,0.958
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,7,0.9,0.973
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,8,1.0,0.98
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,9,1.2,0.986
0001.txt,Mount Wilson,Mt_Wilson,1905-06-07,1905,6,7,a.m,10,1.6,0.995
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,1,0.4,0.734
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,2,0.45,0.805
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,3,0.5,0.943
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,4,0.6,0.885
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,5,0.7,0.914
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,6,0.8,0.945
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,7,0.9,0.961
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,8,1.0,0.968
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,9,1.2,0.975
0001.txt,Mount Wilson,Mt_Wilson,1905-06-13,1905,6,13,p.m,10,1.6,0.98
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,1,0.4,0.765
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,2,0.45,0.832
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,3,0.5,0.875
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,4,0.6,0.924
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,5,0.7,0.953
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,6,0.8,0.97
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,7,0.9,0.978
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,8,1.0,0.983
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,9,1.2,0.987
0001.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,a.m,10,1.6,0.994
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,1,0.387,0.668
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,2,0.39,0.728
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,3,0.3942,0.74
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,4,0.3987,0.745
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,5,0.4037,0.751
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,6,0.4091,0.766
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,7,0.4147,0.77
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,8,0.421,0.778
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,9,0.4275,0.793
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,10,0.4343,0.798
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,11,0.4417,0.804
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,12,0.4494,0.816
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,13,0.4578,0.839
0002.txt,Mount Wilson,Mt_Wilson,1905-06-14,1905,6,14,,14,0.4666,0.846
