source_file,station_raw,station,date,year,month,day,ampm,channel_idx,lambda_um,transmission
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,1,0.348,0.658
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,2,0.391,0.74
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,3,0.446,0.809
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,4,0.497,0.881
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,5,0.615,0.92
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,6,0.724,0.962
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,7,0.817,0.976
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,8,0.994,0.983
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,9,1.225,0.982
0013.txt,Table Mountain,Table_Mountain,1925-12-06,1925,12,6,-999,10,1.6,0.992
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,1,0.348,0.655
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,2,0.391,0.75
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,3,0.446,0.832
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,4,0.497,0.892
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,5,0.615,0.927
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,6,0.724,0.972
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,7,0.817,0.98
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,8,0.994,0.985
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,9,1.225,0.978
0013.txt,Table Mountain,Table_Mountain,1925-12-07,1925,12,7,-999,10,1.6,0.992
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,1,0.348,0.651
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,2,0.391,0.745
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,3,0.446,0.836
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,4,0.497,0.885
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,5,0.615,0.923
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,6,0.724,0.97
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,7,0.817,0.98
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,8,0.994,0.982
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,9,1.225,0.982
0013.txt,Table Mountain,Table_Mountain,1925-12-09,1925,12,9,-999,10,1.6,0.99
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,1,0.348,0.0666
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,2,0.391,0.749
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,3,0.446,0.828
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,4,0.497,0.888
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,5,0.615,0.923
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,6,0.724,0.971
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,7,0.817,0.982
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,8,0.994,0.991
0013.txt,Table Mountain,Table_Mountain,1925-12-10,1925,12,10,-999,9,1.225,0.987
