label,days_post,r_eff,sigma_random,sigma_sg,sigma_ri,sigma_ri_n,sigma_ri_k,sigma_bg,sigma_total
1909-06,-1087,0.4960372353757372,0.0767658185568647,0.006782377232368674,0.006133227303286082,0.006132523487337816,9.291302935486596e-05,0.0020892662806966185,0.07733675096855994
1911-06,-350,0.3847395885082312,0.2701721419036096,0.0037745471465232003,0.004554933996523052,0.004554933196649901,2.699395891952665e-06,0.00984389469767723,0.27041612961041567
1912-05,-24,0.3866101337410224,0.047355112890805094,0.005717131980235591,0.004593681542931262,0.004593496886581784,4.118823655848666e-05,0.006244116032750838,0.04832476808147816
1912-06,7,0.39498497806285116,0.2895443763126635,0.004774259932634631,0.0046635804793851475,0.004660562034486121,0.00016776295898915012,0.01149759138521545,0.2898494143563908
1912-07,37,0.3281228785628675,0.03724401200991143,0.01086206272322203,0.0036862786502367736,0.0036841474959533847,0.00012532962639317445,0.004289040625644492,0.03920568016210479
1912-08,68,0.4201329218466119,0.023009080638314118,0.004158288277379242,0.005023996554434397,0.005023005896289395,9.97654489824517e-05,0.0018564593588964104,0.023987416199925202
1912-09,89,0.4502429689833463,0.03470685424842751,0.002718609754926714,0.005447359469773608,0.005446175413158417,0.00011357183647782307,0.0011322934282715193,0.03525496255028237
1913-07,412,0.2797339331639468,0.02309554209699918,0.009980896265221846,0.0032639852718660445,0.00326398527173659,2.907018324730958e-08,0.0066549011826839925,0.026229061451329666
1913-08,433,0.3348887708499047,0.05143913767969017,0.01405922884855121,0.0037824217720040247,0.0037800797618507565,0.0001330843919338143,0.007602454032533529,0.053997692754636936
1913-09,467,0.27492283653338906,0.035116662875871514,0.013284793961414876,0.003044600086893226,0.0030439668209277055,6.209413983233128e-05,0.010021574700274838,0.038979062473296563
1913-10,496,0.33647039095698933,0.08437102998124439,0.0048495463281347335,0.004160852095789395,0.0041608520954200465,5.544015225775595e-08,0.010461131661690364,0.0852568869094516
1913-11,518,0.3398329523779463,0.2720960420371728,0.0004128266508009521,0.004085048464751875,0.004085048464743943,8.05006422490136e-09,0.03890847639679046,0.2748944955335001
1914-06,744,0.33412123259657966,0.06101362029967742,0.012911065532787149,0.004065786541001535,0.0040657308121981005,2.128754875981745e-05,0.011010316137173418,0.06345955528446937
1914-07,775,0.3206724122806087,0.11386130222240033,0.00560430780326049,0.0038961557950458266,0.003896155791826925,1.5837514039616482e-07,0.003730103927362306,0.1141266757380704
1915-09,1198,0.1729077004779917,0.06549315367140313,0.01551818341294453,0.0016908976273588706,0.0016908976273578937,1.817487718319443e-09,0.013943869957549971,0.06875651124397662
1916-06,1478,0.29327509227296134,0.19112950288388458,0.0046674074645922,0.003497253321186997,0.0034972533211862773,2.243456018756198e-09,0.021514948553294215,0.19242503828016982
1916-08,1535,0.28380169162836866,0.059750634740251544,0.012509183460513973,0.0033234186146480034,0.0033234182836308105,1.4833129437790038e-06,0.008812064773167429,0.06176824118887018
1916-09,1558,0.3096554898564623,0.06405744917108155,0.00967204436331436,0.003638739137932832,0.003638739136936318,8.515931688717945e-08,0.011445153557643466,0.06588730681203764
1916-10,1593,0.22798932070190694,0.12015242204130148,0.015228387197852274,0.002431560572564861,0.0024315605674982256,1.5697026273338863e-07,0.012241372810208468,0.12175496702038609
1917-07,1856,0.5001952490468019,0.1672986398033822,0.003212311211445579,0.006033649316732457,0.006029885032804585,0.00021309755621615135,0.0058996912592378286,0.16754212934188412
1917-08,1898,0.30708971791839196,0.07545814538407525,0.013887008184415298,0.003566875822022503,0.00356656521306281,4.7071336277405394e-05,0.012060766376107366,0.07774937549477182
1917-09,1927,0.3298352364219425,0.2680277430691919,0.008688230491388881,0.004077028629145167,0.004077028628908676,4.391310934798489e-08,0.027220567418183152,0.2695773318675867
1917-10,1948,0.08871507458532304,0.058550847759733404,0.008627015264342721,0.0004044769211156815,0.00040447687095264217,2.0144374125568314e-07,0.017975071812254738,0.06185381131337107
1918-06,2210,0.2749631688060689,0.06088785889713511,0.016378442240904307,0.002874189694189638,0.0028691289753417218,0.0001704855449605261,0.006214302414795691,0.06342289217795728
1918-07,2236,0.1875204898453692,0.08539104268283221,0.01442091066608874,0.001914721907476083,0.001914718451618716,3.637856467337582e-06,0.013442392541837553,0.08765818223150879
1918-08,2258,0.1907827716671317,0.10153513471531034,0.01588022591673762,0.0019582030503243037,0.0019581910543169335,6.854275493777329e-06,0.013601085591795226,0.10368408385709199
1918-09,2293,0.2705510465804636,0.24498083789354172,0.01350917847837599,0.003055431499623733,0.0030548659882117654,5.878301591350251e-05,0.015064090512679726,0.2458340320679899
1918-10,2317,0.1747205296993852,0.11608030387236593,0.015757370795777163,0.0015733484416360884,0.0015612136532174845,0.00019503140210238928,0.031975093747022655,0.12144057693763691
1919-06,2573,0.3131664081176291,0.27692953079673405,0.01146500697968396,0.003892719030952104,0.003892719030888993,2.2166358908952137e-08,0.004632099062925206,0.2772327920999357
1919-07,2597,0.50277817577897,0.1208356874632464,0.01750359285384622,0.006627038919804474,0.006627038863926068,8.605909213330073e-07,0.03049585194812332,0.12602203679672472
1919-08,2623,0.24487698586223913,0.08165776005833042,0.015303604915172915,0.0027999948023645915,0.0027999947975727323,1.6381196967218658e-07,0.0037403127061250395,0.08321069649496053
1919-09,2653,0.34478915998743787,0.25445075545241647,0.003825546858217523,0.004267327391003815,0.004267327390988679,1.1365694754533299e-08,0.0342122199828165,0.2568044155350225
